UF,2000_N,2000_1_6,2000_7_mais,2001_N,2001_1_6,2001_7_mais,2002_N,2002_1_6,2002_7_mais,2003_N,2003_1_6,2003_7_mais,2004_N,2004_1_6,2004_7_mais,2005_N,2005_1_6,2005_7_mais,2006_N,2006_1_6,2006_7_mais,2007_N,2007_1_6,2007_7_mais,2008_N,2008_1_6,2008_7_mais,2009_N,2009_1_6,2009_7_mais,2010_N,2010_1_6,2010_7_mais,2011_N,2011_1_6,2011_7_mais,2012_N,2012_1_6,2012_7_mais,2013_N,2013_1_6,2013_7_mais,2014_N,2014_1_6,2014_7_mais,2015_N,2015_1_6,2015_7_mais,2016_N,2016_1_6,2016_7_mais
11,5,60,32,3,58,27,3,62,27,2,62,33,2,62,34,2,64,32,2,64,32,2,60,35,1,56,40,1,51,45,2,47,49,5,43,51,6,39,55,8,37,55,14,34,52,5,33,61,4,32,63
12,19,62,15,14,60,20,15,69,18,14,62,23,16,59,24,15,53,29,11,56,30,10,52,34,9,59,28,10,59,28,9,58,30,9,58,31,8,56,35,6,55,38,6,53,40,4,52,43,4,50,46
13,11,62,18,12,65,22,10,68,23,9,66,23,9,63,25,9,62,27,8,62,28,6,61,31,6,61,31,6,62,31,6,61,32,6,56,35,6,53,33,5,55,35,5,53,41,4,50,45,3,50,46
14,14,52,29,10,46,37,6,56,30,7,62,30,8,57,33,7,47,44,7,56,35,6,56,36,5,58,35,4,54,41,5,55,40,4,55,40,5,57,37,4,57,38,5,52,43,5,51,44,5,50,45
15,7,64,27,7,68,30,6,70,30,6,64,29,5,67,28,5,67,27,4,66,29,4,66,29,3,68,28,3,65,31,3,61,36,4,56,40,6,53,41,5,53,42,5,50,45,5,49,45,6,48,46
16,13,63,22,14,69,18,12,68,18,11,65,22,12,65,22,11,65,23,10,66,24,9,64,26,8,64,27,6,63,29,5,61,33,5,62,32,5,62,32,5,63,32,4,61,34,4,59,37,3,58,39
17,4,68,27,4,65,32,3,65,32,2,63,35,2,60,38,2,60,38,1,59,39,1,57,41,1,56,43,1,51,47,1,49,49,2,49,49,2,44,54,2,43,55,1,40,58,1,39,60,1,35,64
21,7,67,20,7,72,23,7,80,26,6,70,23,5,70,24,4,71,23,3,71,25,3,71,25,3,72,24,3,73,23,3,71,26,4,64,31,5,61,33,5,63,32,4,58,37,3,56,41,3,54,42
22,5,72,21,4,71,24,3,68,25,2,69,28,2,66,31,2,62,35,1,55,43,1,53,44,1,52,46,2,56,40,1,56,43,4,51,44,4,47,49,4,45,50,2,42,55,2,38,59,3,37,60
23,3,65,28,3,69,29,2,63,32,2,58,38,2,56,40,2,58,38,1,54,43,1,50,47,1,47,50,1,46,52,2,41,56,4,38,56,5,36,58,2,36,59,2,34,64,3,30,67,2,28,69
24,6,60,33,5,54,34,4,55,34,3,60,36,2,59,37,2,59,38,2,54,43,1,52,45,1,51,47,1,51,46,1,50,48,3,44,53,2,41,56,3,39,58,2,38,60,2,36,61,1,34,63
25,7,52,36,6,56,47,5,58,45,3,52,42,3,53,42,2,54,42,2,50,48,1,49,48,1,48,50,4,42,53,1,39,58,3,37,58,3,34,62,2,33,63,2,30,66,2,30,67,2,30,67
26,9,51,38,8,53,38,6,50,38,5,53,41,4,54,41,3,56,39,3,54,43,2,53,44,2,51,46,2,49,49,1,46,52,2,42,54,3,39,56,2,38,58,2,36,61,2,35,63,2,33,64
27,20,38,39,16,41,44,12,41,42,9,45,44,7,47,43,5,49,44,4,50,44,3,53,42,2,52,44,2,53,43,3,53,43,6,53,40,5,49,45,5,48,46,4,44,52,4,43,53,2,42,56
28,5,41,46,5,39,47,3,39,44,3,45,49,2,44,50,2,48,46,1,51,46,1,50,47,2,53,44,1,52,46,1,51,47,2,52,46,2,48,50,2,48,50,2,46,52,1,43,56,1,42,57
29,11,50,30,10,51,30,9,53,31,7,55,32,6,58,31,5,60,31,4,58,34,4,59,35,3,58,37,3,56,39,3,54,41,6,49,44,7,46,46,6,46,47,7,41,51,5,39,55,4,37,59
31,2,50,44,2,49,45,2,45,46,1,45,52,1,42,55,1,41,57,1,38,59,1,36,61,1,34,63,1,33,65,1,29,69,1,27,71,1,26,72,2,27,72,1,24,74,1,23,75,1,23,75
32,3,43,53,3,44,50,2,39,52,2,40,57,1,40,57,1,39,58,1,36,61,1,34,64,1,33,64,1,33,64,1,32,65,3,34,61,3,33,63,2,33,64,1,31,67,1,30,68,1,29,69
33,4,38,57,4,35,53,3,32,53,3,34,61,3,33,62,2,33,63,2,34,62,2,34,63,2,34,62,2,33,63,2,32,64,2,32,64,2,32,63,2,31,64,2,30,66,2,29,68,2,27,69
35,2,33,54,2,29,54,1,28,57,1,28,67,1,25,71,1,24,73,1,24,74,1,23,75,1,22,76,1,22,76,1,21,78,1,20,78,1,22,76,1,22,76,1,22,76,1,21,77,1,20,78
41,1,39,59,1,32,59,1,28,63,1,30,69,1,28,71,1,26,73,1,24,75,1,23,76,1,21,78,1,20,78,1,19,80,1,17,82,1,21,77,1,20,79,1,18,81,1,17,82,1,16,83
42,2,53,44,1,45,45,1,40,48,1,42,56,1,38,60,1,35,63,1,33,65,1,32,66,1,30,68,1,31,68,1,29,70,1,30,69,1,29,69,1,29,70,1,28,71,1,26,73,1,25,74
