UF,Nome,Sigla,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
11,Rondônia,RO,79.59,83.7,78.18,72.3,81.87,80.75,84.44,86.21,82.39,83.87,79.26,92.75,85.82,76.72,98.18,111.27,63.77,82.6
12,Acre,AC,66.79,76.77,81.66,77.54,80.21,72.09,70.66,80.54,75.04,79.18,76.32,84.74,74.35,58.87,59.29,75.54,46.91,72.2
13,Amazonas,AM,70.91,70.68,70.98,64.77,72.14,73.67,74.81,78.84,76.4,78.63,73.3,80.09,79.18,67.06,77.14,94.95,48.27,72.79
14,Roraima,RR,83.94,72.67,78.33,72.99,80.28,78.26,74.22,76.9,71.13,80.21,75.19,84.42,73.13,60.7,82.3,105.27,57.41,76.26
15,Pará,PA,77.23,83.43,82.66,80.5,97.38,89.17,86.99,87.87,84.7,84.02,81.55,84.11,77.87,67.91,71.71,67.51,41.43,79.36
16,Amapá,AP,70.61,101.5,75.61,76.13,84.83,81.02,76.09,76.76,74.15,84.31,75.31,77.88,73.77,67.66,76.11,88.75,56.62,76.94
17,Tocantins,TO,80.63,87.42,80.88,75.39,79.6,78.77,78.68,81.81,79.42,81.54,75.12,87.78,76.34,72.78,85.09,92.37,60.94,79.26
21,Maranhão,MA,74.81,79.09,76.93,75.58,82.82,83.49,82.76,87.34,83.64,84.62,87.04,87.15,77.67,73.54,83.27,94.4,43.38,79.48
22,Piauí,PI,78.74,81.18,79.67,74.41,83.46,76.6,78.18,80.34,76.69,78.11,75.44,86.04,77.57,71.99,76.06,80.68,46.94,76.35
23,Ceará,CE,78.82,83.18,78.97,73.21,81.36,78.84,76.59,78.58,74.75,76.1,74.4,83.44,74.76,73.09,96.57,107.71,56.44,78.2
24,Rio Grande do Norte,RN,70.21,73.12,73.2,71.76,78.42,72.55,73.24,74.52,70.54,72.82,71.04,81.3,74.96,66.86,82.44,89.17,42.23,72.05
25,Paraíba,PB,72.88,80.28,76.52,71.43,79.32,76.29,76.74,79.46,74.71,76.88,77.15,82.82,70.88,71.43,83.53,86.34,50.1,75.42
26,Pernambuco,PE,76.93,76.73,77.76,77.22,80.43,78.07,76.81,80.36,75.91,78.11,74.95,88.72,78.44,71.8,86.44,101.09,51.43,77.38
27,Alagoas,AL,72.36,74.45,76.03,71.21,89.49,76.6,74.4,72.64,69.0,75.31,74.08,73.81,70.45,67.3,84.08,92.74,44.88,73.62
28,Sergipe,SE,77.96,79.01,78.28,76.06,78.75,73.63,73.28,77.6,75.27,76.07,76.12,83.94,74.33,74.76,86.11,91.0,47.05,75.72
29,Bahia,BA,74.08,81.56,76.22,72.9,92.19,81.47,80.36,78.42,74.57,76.77,75.41,84.73,77.33,72.29,83.78,93.06,44.35,77.12
31,Minas Gerais,MG,79.7,90.28,75.07,69.4,77.73,77.68,76.92,77.3,74.74,78.01,80.85,87.4,82.73,80.04,90.21,100.33,57.58,78.72
32,Espírito Santo,ES,79.36,80.75,78.05,77.65,80.76,78.62,77.39,76.58,75.19,75.93,74.74,88.35,79.71,72.3,90.98,98.39,51.19,77.52
33,Rio de Janeiro,RJ,75.16,75.02,74.66,71.5,75.23,75.26,71.88,71.89,69.15,71.36,67.48,83.91,73.71,68.11,84.08,96.14,47.98,72.49
35,São Paulo,SP,76.19,76.51,73.3,71.29,74.03,72.44,71.6,70.92,69.7,72.49,70.36,84.96,77.28,73.37,88.2,98.63,45.94,73.19
41,Paraná,PR,78.72,81.01,77.26,73.48,80.6,73.68,74.62,76.87,73.64,76.66,75.22,89.97,79.48,77.59,86.95,96.41,55.32,77.1
42,Santa Catarina,SC,75.49,78.11,74.59,73.68,73.76,74.02,73.07,73.51,72.19,74.86,74.18,88.07,78.79,72.94,91.81,100.69,58.88,75.97
43,Rio Grande do Sul,RS,71.91,75.6,74.07,71.71,72.3,70.25,69.27,68.75,67.61,69.2,67.22,81.99,72.95,73.47,84.15,87.69,53.86,71.5
50,Mato Grosso do Sul,MS,85.08,88.66,80.84,77.14,75.55,75.05,76.7,78.4,74.89,78.53,75.77,89.37,83.46,81.81,110.11,113.07,63.55,81.64
51,Mato Grosso,MT,84.34,85.97,81.93,77.24,82.44,81.55,79.43,82.68,78.12,79.38,73.54,87.4,81.37,75.04,92.61,100.32,58.32,80.38
52,Goiás,GO,82.76,83.87,82.66,79.45,92.38,81.91,81.78,84.69,80.21,80.41,76.25,96.24,82.52,79.36,86.63,93.55,53.6,81.29
53,Distrito Federal,DF,73.49,71.77,69.15,70.1,84.5,77.52,80.5,84.21,80.92,90.75,80.07,67.7,64.84,85.83,89.33,71.55,75.28,77.76
