UF,Ano,CID10,Total
RO,2000,Newborn respiratory distress syndrome,71
RO,2000,Respiratory failure of newborn,64
RO,2000,"Bacterial sepsis of newborn, unspecified",53
RO,2000,Preterm [premature] newborn [other],30
RO,2000,Ill-defined and unknown cause of mortality,24
RO,2000,Others,457
RO,2001,Respiratory failure of newborn,90
RO,2001,Newborn respiratory distress syndrome,57
RO,2001,"Bacterial sepsis of newborn, unspecified",28
RO,2001,Ill-defined and unknown cause of mortality,24
RO,2001,Unattended death,21
RO,2001,Others,423
RO,2002,Newborn respiratory distress syndrome,62
RO,2002,Respiratory failure of newborn,54
RO,2002,"Bacterial sepsis of newborn, unspecified",38
RO,2002,Ill-defined and unknown cause of mortality,23
RO,2002,"Birth asphyxia, unspecified",21
RO,2002,Others,413
RO,2003,Newborn respiratory distress syndrome,73
RO,2003,Respiratory failure of newborn,53
RO,2003,Ill-defined and unknown cause of mortality,33
RO,2003,"Bacterial sepsis of newborn, unspecified",25
RO,2003,"Infectious gastroenteritis and colitis, unspecified",22
RO,2003,Others,398
RO,2004,Newborn respiratory distress syndrome,59
RO,2004,Respiratory failure of newborn,41
RO,2004,"Bacterial sepsis of newborn, unspecified",34
RO,2004,Neonatal cardiac dysrhythmia,27
RO,2004,Ill-defined and unknown cause of mortality,24
RO,2004,Others,377
RO,2005,Newborn respiratory distress syndrome,58
RO,2005,"Bacterial sepsis of newborn, unspecified",47
RO,2005,Ill-defined and unknown cause of mortality,26
RO,2005,Respiratory failure of newborn,22
RO,2005,"Birth asphyxia, unspecified",19
RO,2005,Others,350
RO,2006,"Bacterial sepsis of newborn, unspecified",66
RO,2006,Newborn respiratory distress syndrome,47
RO,2006,"Birth asphyxia, unspecified",18
RO,2006,Preterm [premature] newborn [other],16
RO,2006,"Congenital malformation of heart, unspecified",15
RO,2006,Others,311
RO,2007,"Bacterial sepsis of newborn, unspecified",55
RO,2007,Newborn respiratory distress syndrome,30
RO,2007,"Birth asphyxia, unspecified",25
RO,2007,"Infectious gastroenteritis and colitis, unspecified",23
RO,2007,"Congenital malformation of heart, unspecified",20
RO,2007,Others,290
RO,2008,"Bacterial sepsis of newborn, unspecified",48
RO,2008,Newborn respiratory distress syndrome,26
RO,2008,"Congenital malformation of heart, unspecified",21
RO,2008,Ill-defined and unknown cause of mortality,14
RO,2008,"Pneumonia, unspecified organism",13
RO,2008,Others,317
RO,2009,"Bacterial sepsis of newborn, unspecified",72
RO,2009,Newborn respiratory distress syndrome,31
RO,2009,"Congenital malformation of heart, unspecified",26
RO,2009,"Pneumonia, unspecified organism",16
RO,2009,"Infectious gastroenteritis and colitis, unspecified",16
RO,2009,Others,293
RO,2010,"Bacterial sepsis of newborn, unspecified",66
RO,2010,Newborn respiratory distress syndrome,31
RO,2010,"Congenital malformation of heart, unspecified",22
RO,2010,"Birth asphyxia, unspecified",22
RO,2010,Pulmonary hemorrhage originating in the perinatal period,16
RO,2010,Others,310
RO,2011,"Bacterial sepsis of newborn, unspecified",37
RO,2011,Newborn respiratory distress syndrome,31
RO,2011,"Sepsis, unspecified organism",14
RO,2011,"Pneumonia, unspecified organism",14
RO,2011,"Neonatal aspiration, unspecified",14
RO,2011,Others,255
RO,2012,"Bacterial sepsis of newborn, unspecified",36
RO,2012,Newborn respiratory distress syndrome,35
RO,2012,"Birth asphyxia, unspecified",27
RO,2012,"Congenital malformation of heart, unspecified",17
RO,2012,"Sepsis, unspecified organism",14
RO,2012,Others,243
RO,2013,"Bacterial sepsis of newborn, unspecified",41
RO,2013,Newborn respiratory distress syndrome,28
RO,2013,"Congenital malformation of heart, unspecified",21
RO,2013,"Sepsis, unspecified organism",15
RO,2013,Preterm [premature] newborn [other],10
RO,2013,Others,255
RO,2014,"Bacterial sepsis of newborn, unspecified",52
RO,2014,Newborn respiratory distress syndrome,34
RO,2014,"Birth asphyxia, unspecified",19
RO,2014,"Congenital malformation of heart, unspecified",19
RO,2014,"Infectious gastroenteritis and colitis, unspecified",15
RO,2014,Others,244
RO,2015,"Bacterial sepsis of newborn, unspecified",61
RO,2015,Newborn respiratory distress syndrome,38
RO,2015,"Congenital malformation of heart, unspecified",26
RO,2015,"Birth asphyxia, unspecified",18
RO,2015,"Pneumonia, unspecified organism",17
RO,2015,Others,235
AC,2000,Unattended death,90
AC,2000,Respiratory failure of newborn,33
AC,2000,Newborn affected by abnormal uterine contractions,23
AC,2000,Ill-defined and unknown cause of mortality,18
AC,2000,Newborn respiratory distress syndrome,18
AC,2000,Others,293
AC,2001,Unattended death,49
AC,2001,Respiratory failure of newborn,25
AC,2001,Newborn respiratory distress syndrome,25
AC,2001,Newborn affected by abnormal uterine contractions,19
AC,2001,"Congenital malformation of heart, unspecified",14
AC,2001,Others,223
AC,2002,Unattended death,31
AC,2002,Ill-defined and unknown cause of mortality,26
AC,2002,Newborn respiratory distress syndrome,26
AC,2002,Newborn affected by abnormal uterine contractions,22
AC,2002,"Infectious gastroenteritis and colitis, unspecified",18
AC,2002,Others,222
AC,2003,Respiratory failure of newborn,26
AC,2003,Unattended death,25
AC,2003,Newborn affected by abnormal uterine contractions,24
AC,2003,Newborn respiratory distress syndrome,23
AC,2003,Ill-defined and unknown cause of mortality,23
AC,2003,Others,208
AC,2004,Unattended death,34
AC,2004,Newborn respiratory distress syndrome,24
AC,2004,Ill-defined and unknown cause of mortality,24
AC,2004,Newborn affected by abnormal uterine contractions,19
AC,2004,Respiratory failure of newborn,19
AC,2004,Others,222
AC,2005,Newborn respiratory distress syndrome,26
AC,2005,Ill-defined and unknown cause of mortality,19
AC,2005,"Congenital malformation of heart, unspecified",18
AC,2005,"Infectious gastroenteritis and colitis, unspecified",17
AC,2005,Newborn affected by abnormal uterine contractions,15
AC,2005,Others,279
AC,2006,Newborn respiratory distress syndrome,23
AC,2006,Sepsis of newborn due to other and unspecified streptococci,23
AC,2006,Unattended death,18
AC,2006,"Pneumonia, unspecified organism",16
AC,2006,"Birth asphyxia, unspecified",13
AC,2006,Others,249
AC,2007,Sepsis of newborn due to other and unspecified streptococci,32
AC,2007,Newborn respiratory distress syndrome,20
AC,2007,"Pneumonia, unspecified organism",18
AC,2007,Preterm [premature] newborn [other],17
AC,2007,"Congenital malformation of heart, unspecified",16
AC,2007,Others,262
AC,2008,Sepsis of newborn due to other and unspecified streptococci,30
AC,2008,Newborn respiratory distress syndrome,24
